# sizemeup-build 2024.10.11
name	tax_id	category	size	source	method
Ectopseudomonas mendocina	300	bacteria	5227630	ncbi	automatic
Ectopseudomonas oleovorans	301	bacteria	4686340	ncbi	automatic
Pseudomonas putida	303	bacteria	6087000	ncbi	manually-set
Ralstonia solanacearum	305	bacteria	5411991	ncbi	automatic
Stutzerimonas stutzeri	316	bacteria	4641436	ncbi	automatic
Pseudomonas syringae	317	bacteria	6067721	ncbi	automatic
Ralstonia pickettii	329	bacteria	5533919	ncbi	automatic
Burkholderia glumae	337	bacteria	6981950	ncbi	automatic
Xanthomonas campestris	339	bacteria	5009912	ncbi	automatic
Xanthomonas translucens	343	bacteria	4590230	ncbi	automatic
Xanthomonas citri	346	bacteria	5201262	ncbi	automatic
Xanthomonas oryzae	347	bacteria	4556450	ncbi	automatic
Azotobacter chroococcum	353	bacteria	4882019	ncbi	automatic
Azotobacter vinelandii	354	bacteria	5370326	ncbi	automatic
Agrobacterium tumefaciens	358	bacteria	5641682	ncbi	manually-set
Rhizobium rhizogenes	359	bacteria	6897855	ncbi	automatic
Agrobacterium radiobacter	362	bacteria	5491420	ncbi	automatic
Agrobacterium vitis	373	bacteria	5951489	ncbi	automatic
Bradyrhizobium japonicum	375	bacteria	9696211	ncbi	automatic
Sinorhizobium fredii	380	bacteria	6873663	ncbi	automatic
Mesorhizobium loti	381	bacteria	6586099	ncbi	automatic
Sinorhizobium meliloti	382	bacteria	6847054	ncbi	automatic
Rhizobium leguminosarum	384	bacteria	7475221	ncbi	automatic
Rhizobium phaseoli	396	bacteria	6736652	ncbi	automatic
Rhizobium tropici	398	bacteria	6603576	ncbi	automatic
Neorhizobium galegae	399	bacteria	6400249	ncbi	automatic
Methylorubrum extorquens	408	bacteria	5869085	ncbi	automatic
Methylococcus capsulatus	414	bacteria	3284187	ncbi	automatic
Methylomonas methanica	421	bacteria	5051681	ncbi	automatic
Acetobacter aceti	435	bacteria	3693126	ncbi	automatic
Novacetimonas hansenii	436	bacteria	3548144	ncbi	automatic
Acidomonas methanolica	437	bacteria	3685636	ncbi	automatic
Acetobacter pasteurianus	438	bacteria	3337015	ncbi	automatic
Gluconobacter oxydans	442	bacteria	2935125	ncbi	automatic
Legionella pneumophila	446	bacteria	3500000	ncbi	manually-set
Legionella bozemanae	447	bacteria	4121711	ncbi	automatic
Legionella longbeachae	450	bacteria	4162732	ncbi	automatic
Legionella micdadei	451	bacteria	3279051	ncbi	automatic
Legionella spiritensis	452	bacteria	3333033	ncbi	automatic
Legionella feeleii	453	bacteria	3552239	ncbi	automatic
Legionella israelensis	454	bacteria	3075359	ncbi	automatic
Legionella jamestowniensis	455	bacteria	3374426	ncbi	automatic
Legionella jordanis	456	bacteria	3500000	ncbi	manually-set
Fluoribacter dumoffii	463	bacteria	3828450	ncbi	automatic
Fluoribacter gormanii	464	bacteria	3829091	ncbi	automatic
Legionella maceachernii	466	bacteria	3613342	ncbi	automatic
Acinetobacter baumannii	470	bacteria	3950000	ncbi	manually-set
Acinetobacter calcoaceticus	471	bacteria	3950000	ncbi	manually-set
Moraxella bovis	476	bacteria	2808924	ncbi	automatic
Moraxella lacunata	477	bacteria	2694894	ncbi	automatic
Moraxella nonliquefaciens	478	bacteria	2222499	ncbi	automatic
Moraxella catarrhalis	480	bacteria	1908816	ncbi	automatic
Neisseria cinerea	483	bacteria	1876226	ncbi	automatic
Neisseria flavescens	484	bacteria	2268952	ncbi	automatic
Neisseria gonorrhoeae	485	bacteria	2225000	ncbi	manually-set
Neisseria lactamica	486	bacteria	2225000	ncbi	manually-set
Neisseria meningitidis	487	bacteria	2225000	ncbi	manually-set
Neisseria mucosa	488	bacteria	2497124	ncbi	automatic
Neisseria polysaccharea	489	bacteria	2225000	ncbi	manually-set
Neisseria sicca	490	bacteria	2529169	ncbi	automatic
Neisseria elongata	495	bacteria	2401807	ncbi	automatic
Psychrobacter immobilis	498	bacteria	3318775	ncbi	automatic
Kingella denitrificans	502	bacteria	2203197	ncbi	automatic
Kingella kingae	504	bacteria	1953889	ncbi	automatic
Alcaligenes faecalis	511	bacteria	4192320	ncbi	automatic
Bordetella bronchiseptica	518	bacteria	5199745	ncbi	automatic
Bordetella parapertussis	519	bacteria	4773906	ncbi	automatic
Bordetella pertussis	520	bacteria	4105345	ncbi	automatic
Bordetella avium	521	bacteria	3724166	ncbi	automatic
Brucella anthropi	529	bacteria	4975062	ncbi	automatic
Chromobacterium violaceum	536	bacteria	4755712	ncbi	automatic
Iodobacter fluviatilis	537	bacteria	4959919	ncbi	automatic
Eikenella corrodens	539	bacteria	2233339	ncbi	automatic
Zymomonas mobilis	542	bacteria	2110151	ncbi	automatic
Citrobacter koseri	545	bacteria	5250000	ncbi	manually-set
Citrobacter freundii	546	bacteria	5250000	ncbi	manually-set
Klebsiella aerogenes	548	bacteria	5600000	ncbi	manually-set
Pantoea agglomerans	549	bacteria	4922873	ncbi	automatic
Enterobacter cloacae	550	bacteria	5100000	ncbi	manually-set
Erwinia amylovora	552	bacteria	3814162	ncbi	automatic
Pantoea ananatis	553	bacteria	4937593	ncbi	automatic
Pectobacterium carotovorum	554	bacteria	4832424	ncbi	automatic
Dickeya chrysanthemi	556	bacteria	4695794	ncbi	automatic
Escherichia coli	562	bacteria	5150000	ncbi	manually-set
Shimwellia blattae	563	bacteria	4153503	ncbi	automatic
Escherichia fergusonii	564	bacteria	5150000	ncbi	manually-set
Atlantibacter hermannii	565	bacteria	4597591	ncbi	automatic
Pseudescherichia vulneris	566	bacteria	4275849	ncbi	automatic
Hafnia alvei	569	bacteria	4826967	ncbi	automatic
Klebsiella oxytoca	571	bacteria	5850000	ncbi	manually-set
Klebsiella pneumoniae	573	bacteria	5600000	ncbi	manually-set
Raoultella planticola	575	bacteria	5850000	ncbi	manually-set
Raoultella terrigena	577	bacteria	5664293	ncbi	automatic
Kluyvera cryocrescens	580	bacteria	5350000	ncbi	manually-set
Morganella morganii	582	bacteria	4800000	ncbi	manually-set
Proteus mirabilis	584	bacteria	4750000	ncbi	manually-set
Proteus vulgaris	585	bacteria	4068977	ncbi	automatic
Providencia rettgeri	587	bacteria	4750000	ncbi	manually-set
Providencia stuartii	588	bacteria	4750000	ncbi	manually-set
Serratia liquefaciens	614	bacteria	5200000	ncbi	manually-set
Serratia marcescens	615	bacteria	5200000	ncbi	manually-set
Serratia odorifera	618	bacteria	5125678	ncbi	automatic
Shigella boydii	621	bacteria	5150000	ncbi	manually-set
Shigella dysenteriae	622	bacteria	5150000	ncbi	manually-set
Shigella flexneri	623	bacteria	5150000	ncbi	manually-set
Shigella sonnei	624	bacteria	5150000	ncbi	manually-set
Xenorhabdus nematophila	628	bacteria	4386383	ncbi	automatic
Yersinia enterocolitica	630	bacteria	4635127	ncbi	automatic
Yersinia intermedia	631	bacteria	4921277	ncbi	automatic
Yersinia pestis	632	bacteria	4645622	ncbi	automatic
Yersinia pseudotuberculosis	633	bacteria	4718005	ncbi	automatic
Yersinia bercovieri	634	bacteria	4333022	ncbi	automatic
Edwardsiella tarda	636	bacteria	3785927	ncbi	automatic
Arsenophonus nasoniae	638	bacteria	4739501	ncbi	automatic
Aeromonas hydrophila	644	bacteria	4500000	ncbi	manually-set
Aeromonas salmonicida	645	bacteria	4889514	ncbi	automatic
Aeromonas sobria	646	bacteria	4695802	ncbi	automatic
Aeromonas caviae	648	bacteria	4525115	ncbi	automatic
Aeromonas jandaei	650	bacteria	4545460	ncbi	automatic
Aeromonas media	651	bacteria	4616226	ncbi	automatic
Aeromonas schubertii	652	bacteria	4254583	ncbi	automatic
Aeromonas veronii	654	bacteria	4601017	ncbi	automatic
Aeromonas allosaccharophila	656	bacteria	4608015	ncbi	automatic
Photobacterium phosphoreum	659	bacteria	4688099	ncbi	automatic
Photobacterium angustum	661	bacteria	4857446	ncbi	automatic
Vibrio alginolyticus	663	bacteria	5150000	ncbi	manually-set
Vibrio cholerae	666	bacteria	4225000	ncbi	manually-set
Aliivibrio fischeri	668	bacteria	4228799	ncbi	automatic
Vibrio harveyi	669	bacteria	5881831	ncbi	automatic
Vibrio parahaemolyticus	670	bacteria	5150000	ncbi	manually-set
Vibrio vulnificus	672	bacteria	5050000	ncbi	manually-set
Grimontia hollisae	673	bacteria	4096279	ncbi	automatic
Vibrio mimicus	674	bacteria	4225000	ncbi	manually-set
Vibrio cincinnatiensis	675	bacteria	3801719	ncbi	automatic
Vibrio fluvialis	676	bacteria	4764223	ncbi	automatic
Vibrio campbellii	680	bacteria	5363665	ncbi	automatic
Vibrio diazotrophicus	685	bacteria	4717463	ncbi	automatic
Vibrio gazogenes	687	bacteria	4712467	ncbi	automatic
Aliivibrio logei	688	bacteria	4637179	ncbi	automatic
Vibrio mediterranei	689	bacteria	5844606	ncbi	automatic
Vibrio natriegens	691	bacteria	5180406	ncbi	automatic
Plesiomonas shigelloides	703	bacteria	3705012	ncbi	automatic
Aggregatibacter actinomycetemcomitans	714	bacteria	2122048	ncbi	automatic
Actinobacillus pleuropneumoniae	715	bacteria	2282693	ncbi	automatic
Actinobacillus suis	716	bacteria	2501598	ncbi	automatic
Actinobacillus equuli	718	bacteria	2391457	ncbi	automatic
Haemophilus haemolyticus	726	bacteria	1915140	ncbi	automatic
Haemophilus influenzae	727	bacteria	1851200	ncbi	automatic
Avibacterium paragallinarum	728	bacteria	2591029	ncbi	automatic
Haemophilus parainfluenzae	729	bacteria	2062405	ncbi	automatic
[Haemophilus] ducreyi	730	bacteria	1629550	ncbi	automatic
Histophilus somni	731	bacteria	2169711	ncbi	automatic
Aggregatibacter aphrophilus	732	bacteria	2313145	ncbi	automatic
Canicola haemoglobinophilus	733	bacteria	2396110	ncbi	automatic
Haemophilus parahaemolyticus	735	bacteria	2093465	ncbi	automatic
Haemophilus paraphrohaemolyticus	736	bacteria	2021208	ncbi	automatic
Glaesserella parasuis	738	bacteria	2245579	ncbi	automatic
Aggregatibacter segnis	739	bacteria	1971698	ncbi	automatic
Pasteurella multocida	747	bacteria	2335613	ncbi	automatic
Gallibacterium anatis	750	bacteria	2556156	ncbi	automatic
Pasteurella canis	753	bacteria	2249951	ncbi	automatic
Rodentibacter pneumotropicus	758	bacteria	2350554	ncbi	automatic
Anaplasma marginale	770	bacteria	1172327	ncbi	automatic
Bartonella bacilliformis	774	bacteria	1412164	ncbi	automatic
Coxiella burnetii	777	bacteria	2008229	ncbi	automatic
Ehrlichia ruminantium	779	bacteria	1485497	ncbi	automatic
Rickettsia conorii	781	bacteria	1279369	ncbi	automatic
Rickettsia prowazekii	782	bacteria	1111521	ncbi	automatic
Rickettsia rickettsii	783	bacteria	1268201	ncbi	automatic
Orientia tsutsugamushi	784	bacteria	2078193	ncbi	automatic
Rickettsia typhi	785	bacteria	1112155	ncbi	automatic
Bartonella quintana	803	bacteria	1580728	ncbi	automatic
Bartonella elizabethae	807	bacteria	1958588	ncbi	automatic
Chlamydia trachomatis	813	bacteria	1051863	ncbi	automatic
Bacteroides fragilis	817	bacteria	5258056	ncbi	automatic
Bacteroides thetaiotaomicron	818	bacteria	6453446	ncbi	automatic
Bacteroides uniformis	820	bacteria	4880120	ncbi	automatic
Phocaeicola vulgatus	821	bacteria	5188029	ncbi	automatic
Parabacteroides distasonis	823	bacteria	5171443	ncbi	automatic
Campylobacter gracilis	824	bacteria	2275074	ncbi	automatic
Campylobacter ureolyticus	827	bacteria	1985000	ncbi	manually-set
Butyrivibrio fibrisolvens	831	bacteria	4656632	ncbi	automatic
Fibrobacter succinogenes	833	bacteria	3747089	ncbi	automatic
Porphyromonas gingivalis	837	bacteria	2338915	ncbi	automatic
Xylanibacter ruminicola	839	bacteria	3573070	ncbi	automatic
Oxalobacter formigenes	847	bacteria	2454766	ncbi	automatic
Fusobacterium gonidiaformans	849	bacteria	1772479	ncbi	automatic
Fusobacterium mortiferum	850	bacteria	2661910	ncbi	automatic
Fusobacterium nucleatum	851	bacteria	2184989	ncbi	automatic
Faecalibacterium prausnitzii	853	bacteria	3021150	ncbi	automatic
Fusobacterium varium	856	bacteria	3355232	ncbi	automatic
Fusobacterium necrophorum	859	bacteria	2173204	ncbi	automatic
Fusobacterium periodonticum	860	bacteria	2472857	ncbi	automatic
Fusobacterium ulcerans	861	bacteria	3662896	ncbi	automatic
Pectinatus frisingensis	865	bacteria	3010135	ncbi	automatic
Dichelobacter nodosus	870	bacteria	1366555	ncbi	automatic
Desulfocurvibacter africanus	873	bacteria	4080481	ncbi	automatic
Desulfovibrio desulfuricans	876	bacteria	3533873	ncbi	automatic
Nitratidesulfovibrio vulgaris	881	bacteria	3734357	ncbi	automatic
Desulfuromonas acetoxidans	891	bacteria	3805861	ncbi	automatic
Desulfococcus multivorans	897	bacteria	4429203	ncbi	automatic
Desulfovibrio piger	901	bacteria	2826240	ncbi	automatic
Acidaminococcus fermentans	905	bacteria	2338082	ncbi	automatic
Megasphaera elsdenii	907	bacteria	2462219	ncbi	automatic
Nitrosomonas europaea	915	bacteria	2760276	ncbi	automatic
Nitrosomonas eutropha	916	bacteria	2527242	ncbi	automatic
Acidithiobacillus ferrooxidans	920	bacteria	3177706	ncbi	automatic
Acidithiobacillus thiooxidans	930	bacteria	3700877	ncbi	automatic
Ehrlichia canis	944	bacteria	1312158	ncbi	automatic
Ehrlichia chaffeensis	945	bacteria	1174777	ncbi	automatic
Anaplasma phagocytophilum	948	bacteria	1487860	ncbi	automatic
Wolbachia pipientis	955	bacteria	1267319	ncbi	automatic
Bdellovibrio bacteriovorus	959	bacteria	3782889	ncbi	automatic
Herbaspirillum seropedicae	964	bacteria	5501231	ncbi	automatic
Selenomonas ruminantium	971	bacteria	3114938	ncbi	automatic
Cellulophaga lytica	979	bacteria	3824196	ncbi	automatic
Flavobacterium johnsoniae	986	bacteria	5854969	ncbi	automatic
Marinilabilia salmonicolor	989	bacteria	4977085	ncbi	automatic
Flavobacterium columnare	996	bacteria	3221306	ncbi	automatic
Chitinophaga sancti	1004	bacteria	8371305	ncbi	automatic
Sphingobacterium mizutaii	1010	bacteria	4734140	ncbi	automatic
Weeksella virosa	1014	bacteria	2282090	ncbi	automatic
Bergeyella zoohelcum	1015	bacteria	2379308	ncbi	automatic
Capnocytophaga gingivalis	1017	bacteria	2838633	ncbi	automatic
Capnocytophaga ochracea	1018	bacteria	2663163	ncbi	automatic
Capnocytophaga sputigena	1019	bacteria	2980896	ncbi	automatic
Afipia felis	1035	bacteria	4196438	ncbi	automatic
Marichromatium gracile	1048	bacteria	3835094	ncbi	automatic
Halorhodospira halochloris	1052	bacteria	2859053	ncbi	automatic
Halorhodospira halophila	1053	bacteria	2703216	ncbi	automatic
Rhodobacter capsulatus	1061	bacteria	3778652	ncbi	automatic
Cereibacter sphaeroides	1063	bacteria	4635445	ncbi	automatic
Rhodoblastus acidophilus	1074	bacteria	4730212	ncbi	automatic
Rhodopseudomonas palustris	1076	bacteria	5394209	ncbi	automatic
Afifella marina	1080	bacteria	3965167	ncbi	automatic
Rhodospirillum rubrum	1085	bacteria	4352825	ncbi	automatic
Rhodothalassium salexigens	1086	bacteria	3357672	ncbi	automatic
Chlorobium phaeovibrioides	1094	bacteria	2043674	ncbi	automatic
Microcystis aeruginosa	1126	bacteria	4858867	ncbi	automatic
Planktothrix agardhii	1160	bacteria	5091978	ncbi	automatic
Anabaena cylindrica	1165	bacteria	6957411	ncbi	automatic
Aphanizomenon flos-aquae	1176	bacteria	4345248	ncbi	automatic
Leptolyngbya boryana	1184	bacteria	6803468	ncbi	automatic
Prochlorococcus marinus	1219	bacteria	1687130	ncbi	manually-set
Nitrosococcus oceani	1229	bacteria	3515243	ncbi	automatic
Nitrosospira multiformis	1231	bacteria	3263823	ncbi	automatic
Piscirickettsia salmonis	1238	bacteria	3489398	ncbi	automatic
Leuconostoc gelidum	1244	bacteria	1929445	ncbi	automatic
Leuconostoc mesenteroides	1245	bacteria	1997475	ncbi	automatic
Leuconostoc lactis	1246	bacteria	1724391	ncbi	automatic
Oenococcus oeni	1247	bacteria	1891538	ncbi	automatic
Weissella paramesenteroides	1249	bacteria	1990597	ncbi	automatic
Leuconostoc fallax	1251	bacteria	1638971	ncbi	automatic
Leuconostoc carnosum	1252	bacteria	1773127	ncbi	automatic
Pediococcus acidilactici	1254	bacteria	2005124	ncbi	automatic
Pediococcus pentosaceus	1255	bacteria	1827238	ncbi	automatic
Finegoldia magna	1260	bacteria	1900068	ncbi	automatic
Peptostreptococcus anaerobius	1261	bacteria	2032334	ncbi	automatic
Ruminococcus albus	1264	bacteria	4225197	ncbi	automatic
Ruminococcus flavefaciens	1265	bacteria	3654005	ncbi	automatic
Sarcina ventriculi	1267	bacteria	2479673	ncbi	automatic
Micrococcus luteus	1270	bacteria	2506452	ncbi	automatic
Kocuria varians	1272	bacteria	2870901	ncbi	automatic
Micrococcus lylae	1273	bacteria	2667627	ncbi	automatic
Dermacoccus nishinomiyaensis	1274	bacteria	3074343	ncbi	automatic
Kocuria rosea	1275	bacteria	3956015	ncbi	automatic
Kytococcus sedentarius	1276	bacteria	2691092	ncbi	automatic
Staphylococcus aureus	1280	bacteria	2800000	ncbi	manually-set
Staphylococcus carnosus	1281	bacteria	2615101	ncbi	automatic
Staphylococcus epidermidis	1282	bacteria	2492032	ncbi	automatic
Staphylococcus haemolyticus	1283	bacteria	2491574	ncbi	automatic
Staphylococcus hyicus	1284	bacteria	2519724	ncbi	automatic
Staphylococcus intermedius	1285	bacteria	2650000	ncbi	manually-set
Staphylococcus simulans	1286	bacteria	2660093	ncbi	automatic
Staphylococcus xylosus	1288	bacteria	2818154	ncbi	automatic
Staphylococcus hominis	1290	bacteria	2245591	ncbi	automatic
Staphylococcus warneri	1292	bacteria	2531570	ncbi	automatic
Staphylococcus gallinarum	1293	bacteria	2921493	ncbi	automatic
Staphylococcus muscae	1294	bacteria	2073632	ncbi	automatic
Staphylococcus schleiferi	1295	bacteria	2426767	ncbi	automatic
Mammaliicoccus sciuri	1296	bacteria	2790188	ncbi	automatic
Deinococcus radiodurans	1299	bacteria	3265156	ncbi	automatic
Streptococcus gordonii	1302	bacteria	2201612	ncbi	automatic
Streptococcus oralis	1303	bacteria	2095000	ncbi	manually-set
Streptococcus salivarius	1304	bacteria	2186099	ncbi	automatic
Streptococcus sanguinis	1305	bacteria	2362223	ncbi	automatic
Streptococcus suis	1307	bacteria	2151002	ncbi	automatic
Streptococcus thermophilus	1308	bacteria	1806813	ncbi	automatic
Streptococcus mutans	1309	bacteria	1992998	ncbi	automatic
Streptococcus sobrinus	1310	bacteria	2115483	ncbi	automatic
Streptococcus agalactiae	1311	bacteria	2099776	ncbi	automatic
Streptococcus pneumoniae	1313	bacteria	2095000	ncbi	manually-set
Streptococcus pyogenes	1314	bacteria	1807265	ncbi	automatic
Streptococcus parasanguinis	1318	bacteria	2134553	ncbi	automatic
Blautia hansenii	1322	bacteria	3065949	ncbi	automatic
Faecalicoccus pleomorphus	1323	bacteria	2228648	ncbi	automatic
Streptococcus acidominimus	1326	bacteria	2382433	ncbi	automatic
Streptococcus anginosus	1328	bacteria	2001352	ncbi	automatic
Streptococcus canis	1329	bacteria	2062324	ncbi	automatic
Streptococcus dysgalactiae	1334	bacteria	2149837	ncbi	automatic
Streptococcus equinus	1335	bacteria	1873522	ncbi	automatic
Streptococcus equi	1336	bacteria	2119609	ncbi	automatic
Streptococcus intermedius	1338	bacteria	1944723	ncbi	automatic
Streptococcus porcinus	1340	bacteria	1954699	ncbi	automatic
Streptococcus ratti	1341	bacteria	2079480	ncbi	automatic
Streptococcus vestibularis	1343	bacteria	1929583	ncbi	automatic
Streptococcus iniae	1346	bacteria	1997861	ncbi	automatic
Streptococcus parauberis	1348	bacteria	2094057	ncbi	automatic
Streptococcus uberis	1349	bacteria	1930454	ncbi	automatic
Enterococcus faecalis	1351	bacteria	2950000	ncbi	manually-set
Enterococcus faecium	1352	bacteria	2950000	ncbi	manually-set
Enterococcus gallinarum	1353	bacteria	3357904	ncbi	automatic
Enterococcus hirae	1354	bacteria	2950000	ncbi	manually-set
Enterococcus columbae	1355	bacteria	2522431	ncbi	automatic
Lactococcus lactis	1358	bacteria	2546864	ncbi	automatic
Lactococcus cremoris	1359	bacteria	2536107	ncbi	automatic
Lactococcus garvieae	1363	bacteria	2091625	ncbi	automatic
Lactococcus raffinolactis	1366	bacteria	2314547	ncbi	automatic
Marinococcus halophilus	1371	bacteria	3263932	ncbi	automatic
Aerococcus urinae	1376	bacteria	1950800	ncbi	automatic
Aerococcus viridans	1377	bacteria	2008125	ncbi	automatic
Gemella haemolysans	1379	bacteria	1926227	ncbi	automatic
Bacillus amyloliquefaciens	1390	bacteria	3962370	ncbi	automatic
Aneurinibacillus aneurinilyticus	1391	bacteria	5349541	ncbi	automatic
Bacillus anthracis	1392	bacteria	5504734	ncbi	automatic
Brevibacillus brevis	1393	bacteria	6347604	ncbi	automatic
Bacillus cereus	1396	bacteria	5809053	ncbi	automatic
Niallia circulans	1397	bacteria	5131089	ncbi	automatic
Heyndrickxia coagulans	1398	bacteria	3357379	ncbi	automatic
Cytobacillus firmus	1399	bacteria	4964499	ncbi	automatic
Paenibacillus lautus	1401	bacteria	7210266	ncbi	automatic
Bacillus licheniformis	1402	bacteria	4250308	ncbi	automatic
Priestia megaterium	1404	bacteria	5605327	ncbi	automatic
Bacillus mycoides	1405	bacteria	5800227	ncbi	automatic
Paenibacillus polymyxa	1406	bacteria	5803030	ncbi	automatic
Peribacillus psychrosaccharolyticus	1407	bacteria	4613508	ncbi	automatic
Bacillus pumilus	1408	bacteria	3685385	ncbi	automatic
Lysinibacillus sphaericus	1421	bacteria	4734081	ncbi	automatic
Geobacillus stearothermophilus	1422	bacteria	2780466	ncbi	automatic
Bacillus subtilis	1423	bacteria	4123822	ncbi	automatic
Parageobacillus thermoglucosidasius	1426	bacteria	3912031	ncbi	automatic
Bacillus thuringiensis	1428	bacteria	6150961	ncbi	automatic
Paenibacillus amylolyticus	1451	bacteria	7047642	ncbi	automatic
Bacillus atrophaeus	1452	bacteria	4148156	ncbi	automatic
Schinkia azotoformans	1454	bacteria	4618888	ncbi	automatic
Bacillus badius	1455	bacteria	4019594	ncbi	automatic
Metabacillus fastidiosus	1458	bacteria	4395731	ncbi	automatic
Geobacillus kaustophilus	1462	bacteria	3558873	ncbi	automatic
Paenibacillus larvae	1464	bacteria	4201542	ncbi	automatic
Brevibacillus laterosporus	1465	bacteria	5335277	ncbi	automatic
Lederbergia lenta	1467	bacteria	4366742	ncbi	automatic
Bacillus methanolicus	1471	bacteria	3426513	ncbi	automatic
Paenibacillus pabuli	1472	bacteria	7114500	ncbi	automatic
Virgibacillus pantothenticus	1473	bacteria	4851427	ncbi	automatic
Sporosarcina pasteurii	1474	bacteria	3277995	ncbi	automatic
Peribacillus simplex	1478	bacteria	5600387	ncbi	automatic
Bacillus smithii	1479	bacteria	3343218	ncbi	automatic
Virgibacillus halodenitrificans	1482	bacteria	3917759	ncbi	automatic
Hydrogenibacillus schlegelii	1484	bacteria	2664174	ncbi	automatic
Clostridium acetobutylicum	1488	bacteria	4119226	ncbi	automatic
Paraclostridium bifermentans	1490	bacteria	3559443	ncbi	automatic
Clostridium botulinum	1491	bacteria	3400000	ncbi	manually-set
Clostridium butyricum	1492	bacteria	4588840	ncbi	automatic
Clostridium cochlearium	1494	bacteria	2435790	ncbi	automatic
Clostridioides difficile	1496	bacteria	3605000	ncbi	manually-set
Clostridium pasteurianum	1501	bacteria	4352476	ncbi	automatic
Clostridium perfringens	1502	bacteria	3300000	ncbi	manually-set
Clostridium septicum	1504	bacteria	3401946	ncbi	automatic
Paraclostridium sordellii	1505	bacteria	3519148	ncbi	automatic
Clostridium sporogenes	1509	bacteria	3400000	ncbi	manually-set
